,Date,Hour,Temp,Weather,Wind,Humidity,Barometer,Visibility
0,2012-07-01,00:00,54 °F,Clear.,7 mph,"('54%',)","('29.95 ""Hg',)",10 mi
1,2012-07-01,00:30,54 °F,Clear.,7 mph,"('54%',)","('29.95 ""Hg',)",10 mi
2,2012-07-01,01:00,54 °F,Clear.,6 mph,"('54%',)","('29.95 ""Hg',)",10 mi
3,2012-07-01,02:00,54 °F,Clear.,5 mph,"('54%',)","('29.95 ""Hg',)",10 mi
4,2012-07-01,02:30,50 °F,Clear.,1 mph,"('67%',)","('29.95 ""Hg',)",10 mi
5,2012-07-01,03:00,52 °F,Clear.,8 mph,"('62%',)","('29.95 ""Hg',)",10 mi
6,2012-07-01,04:00,50 °F,Clear.,6 mph,"('71%',)","('29.95 ""Hg',)",10 mi
7,2012-07-01,04:30,50 °F,Clear.,6 mph,"('67%',)","('29.95 ""Hg',)",10 mi
8,2012-07-01,05:00,50 °F,Clear.,7 mph,"('67%',)","('29.95 ""Hg',)",10 mi
9,2012-07-01,06:00,50 °F,Clear.,6 mph,"('67%',)","('29.95 ""Hg',)",10 mi
10,2012-07-01,06:30,50 °F,Partly sunny.,8 mph,"('67%',)","('29.98 ""Hg',)",N/A
11,2012-07-01,07:00,48 °F,Partly sunny.,8 mph,"('71%',)","('29.98 ""Hg',)",N/A
12,2012-07-01,07:30,50 °F,Partly sunny.,10 mph,"('62%',)","('29.98 ""Hg',)",N/A
13,2012-07-01,08:00,50 °F,Partly sunny.,9 mph,"('62%',)","('29.98 ""Hg',)",N/A
14,2012-07-01,08:30,50 °F,Partly sunny.,12 mph,"('67%',)","('30.01 ""Hg',)",N/A
15,2012-07-01,09:00,52 °F,Partly sunny.,10 mph,"('62%',)","('30.01 ""Hg',)",N/A
16,2012-07-01,09:30,54 °F,Partly sunny.,10 mph,"('58%',)","('30.01 ""Hg',)",N/A
17,2012-07-01,10:00,54 °F,Partly sunny.,12 mph,"('54%',)","('30.01 ""Hg',)",N/A
18,2012-07-01,10:30,57 °F,Scattered clouds.,12 mph,"('48%',)","('29.98 ""Hg',)",N/A
19,2012-07-01,11:00,59 °F,Scattered clouds.,10 mph,"('45%',)","('29.98 ""Hg',)",N/A
20,2012-07-01,12:00,55 °F,Partly sunny.,17 mph,"('44%',)","('29.98 ""Hg',)",N/A
21,2012-07-01,12:30,59 °F,Scattered clouds.,9 mph,"('39%',)","('29.95 ""Hg',)",N/A
22,2012-07-01,13:00,61 °F,Scattered clouds.,15 mph,"('31%',)","('29.95 ""Hg',)",N/A
23,2012-07-01,13:30,63 °F,Passing clouds.,17 mph,"('27%',)","('29.92 ""Hg',)",N/A
24,2012-07-01,14:00,61 °F,Passing clouds.,16 mph,"('29%',)","('29.92 ""Hg',)",N/A
25,2012-07-01,15:00,61 °F,Passing clouds.,18 mph,"('27%',)","('29.92 ""Hg',)",N/A
26,2012-07-01,15:30,61 °F,Passing clouds.,18 mph,"('29%',)","('29.92 ""Hg',)",N/A
27,2012-07-01,16:00,57 °F,Passing clouds.,20 mph,"('39%',)","('29.92 ""Hg',)",N/A
28,2012-07-01,16:30,55 °F,Passing clouds.,14 mph,"('41%',)","('29.95 ""Hg',)",N/A
29,2012-07-01,17:00,55 °F,Passing clouds.,20 mph,"('41%',)","('29.95 ""Hg',)",N/A
30,2012-07-01,18:00,54 °F,Passing clouds.,14 mph,"('47%',)","('29.95 ""Hg',)",N/A
31,2012-07-01,18:30,54 °F,Clear.,13 mph,"('44%',)","('29.98 ""Hg',)",10 mi
32,2012-07-01,19:00,54 °F,Clear.,14 mph,"('47%',)","('29.98 ""Hg',)",10 mi
33,2012-07-01,19:30,52 °F,Clear.,12 mph,"('50%',)","('29.98 ""Hg',)",10 mi
34,2012-07-01,20:00,52 °F,Clear.,13 mph,"('54%',)","('29.98 ""Hg',)",10 mi
35,2012-07-01,20:30,50 °F,Clear.,13 mph,"('58%',)","('29.98 ""Hg',)",10 mi
36,2012-07-01,21:00,52 °F,Clear.,10 mph,"('54%',)","('29.98 ""Hg',)",10 mi
37,2012-07-01,21:30,52 °F,Clear.,13 mph,"('50%',)","('29.98 ""Hg',)",10 mi
38,2012-07-01,22:00,50 °F,Clear.,13 mph,"('54%',)","('29.98 ""Hg',)",10 mi
39,2012-07-01,23:00,50 °F,Clear.,13 mph,"('54%',)","('29.98 ""Hg',)",10 mi
40,2012-07-01,23:30,48 °F,Clear.,12 mph,"('58%',)","('29.98 ""Hg',)",10 mi
41,2012-07-02,00:00,48 °F,Clear.,9 mph,"('58%',)","('29.95 ""Hg',)",10 mi
42,2012-07-02,00:30,48 °F,Clear.,10 mph,"('62%',)","('29.95 ""Hg',)",10 mi
43,2012-07-02,01:00,46 °F,Clear.,9 mph,"('66%',)","('29.95 ""Hg',)",10 mi
44,2012-07-02,01:30,46 °F,Clear.,9 mph,"('66%',)","('29.95 ""Hg',)",10 mi
45,2012-07-02,02:00,46 °F,Clear.,8 mph,"('66%',)","('29.95 ""Hg',)",10 mi
46,2012-07-02,02:30,46 °F,Clear.,9 mph,"('66%',)","('29.95 ""Hg',)",10 mi
47,2012-07-02,03:00,45 °F,Clear.,12 mph,"('71%',)","('29.95 ""Hg',)",10 mi
48,2012-07-02,03:30,45 °F,Clear.,7 mph,"('71%',)","('29.95 ""Hg',)",10 mi
49,2012-07-02,04:00,45 °F,Clear.,9 mph,"('71%',)","('29.95 ""Hg',)",10 mi
50,2012-07-02,04:30,45 °F,Clear.,10 mph,"('71%',)","('29.95 ""Hg',)",10 mi
51,2012-07-02,05:00,45 °F,Clear.,8 mph,"('71%',)","('29.95 ""Hg',)",10 mi
52,2012-07-02,06:00,43 °F,Clear.,10 mph,"('76%',)","('29.95 ""Hg',)",10 mi
53,2012-07-02,06:30,43 °F,Passing clouds.,10 mph,"('76%',)","('29.95 ""Hg',)",N/A
54,2012-07-02,07:00,45 °F,Passing clouds.,10 mph,"('71%',)","('29.98 ""Hg',)",N/A
55,2012-07-02,07:30,45 °F,Passing clouds.,14 mph,"('71%',)","('29.98 ""Hg',)",N/A
56,2012-07-02,08:00,48 °F,Passing clouds.,12 mph,"('66%',)","('29.98 ""Hg',)",N/A
57,2012-07-02,08:30,50 °F,Passing clouds.,10 mph,"('62%',)","('29.98 ""Hg',)",N/A
58,2012-07-02,09:00,54 °F,Passing clouds.,12 mph,"('54%',)","('30.01 ""Hg',)",N/A
59,2012-07-02,10:00,55 °F,Passing clouds.,17 mph,"('47%',)","('30.01 ""Hg',)",N/A
60,2012-07-02,10:30,55 °F,Passing clouds.,20 mph,"('47%',)","('30.01 ""Hg',)",N/A
61,2012-07-02,11:00,57 °F,Passing clouds.,15 mph,"('44%',)","('30.01 ""Hg',)",N/A
62,2012-07-02,12:00,59 °F,Sunny.,20 mph,"('39%',)","('29.98 ""Hg',)",10 mi
63,2012-07-02,12:30,59 °F,Sunny.,18 mph,"('39%',)","('29.98 ""Hg',)",10 mi
64,2012-07-02,13:00,59 °F,Sunny.,18 mph,"('36%',)","('29.98 ""Hg',)",10 mi
65,2012-07-02,13:30,59 °F,Sunny.,20 mph,"('39%',)","('29.98 ""Hg',)",10 mi
66,2012-07-02,14:00,61 °F,Sunny.,20 mph,"('39%',)","('29.98 ""Hg',)",10 mi
67,2012-07-02,14:30,59 °F,Sunny.,18 mph,"('42%',)","('29.98 ""Hg',)",10 mi
68,2012-07-02,15:00,61 °F,Sunny.,13 mph,"('31%',)","('29.98 ""Hg',)",10 mi
69,2012-07-02,15:30,59 °F,Sunny.,18 mph,"('36%',)","('29.98 ""Hg',)",10 mi
70,2012-07-02,16:00,59 °F,Clear.,15 mph,"('36%',)","('29.98 ""Hg',)",10 mi
71,2012-07-02,17:00,57 °F,Clear.,16 mph,"('39%',)","('30.01 ""Hg',)",10 mi
72,2012-07-02,17:30,55 °F,Clear.,13 mph,"('47%',)","('30.01 ""Hg',)",10 mi
73,2012-07-02,18:00,55 °F,Clear.,13 mph,"('47%',)","('30.04 ""Hg',)",10 mi
74,2012-07-02,18:30,54 °F,Clear.,14 mph,"('51%',)","('30.04 ""Hg',)",10 mi
75,2012-07-02,19:00,54 °F,Clear.,14 mph,"('51%',)","('30.04 ""Hg',)",10 mi
76,2012-07-02,19:30,52 °F,Clear.,14 mph,"('54%',)","('30.04 ""Hg',)",10 mi
77,2012-07-02,20:00,52 °F,Clear.,18 mph,"('54%',)","('30.07 ""Hg',)",10 mi
78,2012-07-02,20:30,52 °F,Clear.,17 mph,"('54%',)","('30.07 ""Hg',)",10 mi
79,2012-07-02,21:00,52 °F,Clear.,18 mph,"('54%',)","('30.07 ""Hg',)",10 mi
80,2012-07-02,21:30,52 °F,Clear.,17 mph,"('54%',)","('30.07 ""Hg',)",10 mi
81,2012-07-02,22:00,50 °F,Clear.,17 mph,"('58%',)","('30.07 ""Hg',)",10 mi
82,2012-07-02,22:30,50 °F,Clear.,16 mph,"('58%',)","('30.07 ""Hg',)",10 mi
83,2012-07-02,23:00,50 °F,Clear.,17 mph,"('58%',)","('30.07 ""Hg',)",10 mi
84,2012-07-02,23:30,48 °F,Clear.,16 mph,"('62%',)","('30.07 ""Hg',)",10 mi
85,2012-07-03,00:00,48 °F,Clear.,15 mph,"('62%',)","('30.07 ""Hg',)",10 mi
86,2012-07-03,00:30,46 °F,Clear.,16 mph,"('66%',)","('30.07 ""Hg',)",10 mi
87,2012-07-03,01:00,48 °F,Clear.,17 mph,"('62%',)","('30.07 ""Hg',)",10 mi
88,2012-07-03,01:30,48 °F,Clear.,17 mph,"('62%',)","('30.07 ""Hg',)",10 mi
89,2012-07-03,02:00,48 °F,Clear.,16 mph,"('62%',)","('30.07 ""Hg',)",10 mi
90,2012-07-03,02:30,48 °F,Clear.,17 mph,"('58%',)","('30.07 ""Hg',)",10 mi
91,2012-07-03,03:00,48 °F,Clear.,18 mph,"('58%',)","('30.07 ""Hg',)",10 mi
92,2012-07-03,03:30,48 °F,Clear.,17 mph,"('58%',)","('30.07 ""Hg',)",10 mi
93,2012-07-03,04:00,46 °F,Clear.,15 mph,"('66%',)","('30.07 ""Hg',)",10 mi
94,2012-07-03,04:30,48 °F,Clear.,20 mph,"('58%',)","('30.07 ""Hg',)",10 mi
95,2012-07-03,05:00,46 °F,Clear.,17 mph,"('66%',)","('30.07 ""Hg',)",10 mi
96,2012-07-03,05:30,46 °F,Clear.,17 mph,"('66%',)","('30.07 ""Hg',)",10 mi
97,2012-07-03,06:00,46 °F,Clear.,16 mph,"('66%',)","('30.07 ""Hg',)",10 mi
98,2012-07-03,06:30,46 °F,Sunny.,17 mph,"('66%',)","('30.09 ""Hg',)",10 mi
99,2012-07-03,07:00,46 °F,Sunny.,17 mph,"('66%',)","('30.09 ""Hg',)",10 mi
100,2012-07-03,07:30,46 °F,Sunny.,16 mph,"('66%',)","('30.09 ""Hg',)",10 mi
101,2012-07-03,08:00,48 °F,Sunny.,18 mph,"('62%',)","('30.12 ""Hg',)",10 mi
102,2012-07-03,08:30,50 °F,Sunny.,18 mph,"('58%',)","('30.12 ""Hg',)",10 mi
103,2012-07-03,09:00,52 °F,Sunny.,17 mph,"('54%',)","('30.12 ""Hg',)",10 mi
104,2012-07-03,09:30,52 °F,Sunny.,20 mph,"('54%',)","('30.12 ""Hg',)",10 mi
105,2012-07-03,10:00,54 °F,Sunny.,17 mph,"('51%',)","('30.12 ""Hg',)",10 mi
106,2012-07-03,10:30,55 °F,Sunny.,18 mph,"('47%',)","('30.12 ""Hg',)",10 mi
107,2012-07-03,11:00,55 °F,Sunny.,17 mph,"('47%',)","('30.09 ""Hg',)",10 mi
108,2012-07-03,12:00,57 °F,Sunny.,14 mph,"('44%',)","('30.09 ""Hg',)",10 mi
109,2012-07-03,12:30,59 °F,Sunny.,13 mph,"('42%',)","('30.07 ""Hg',)",10 mi
110,2012-07-03,13:00,59 °F,Sunny.,12 mph,"('45%',)","('30.07 ""Hg',)",10 mi
111,2012-07-03,13:30,59 °F,Sunny.,15 mph,"('48%',)","('30.07 ""Hg',)",10 mi
112,2012-07-03,14:00,59 °F,Sunny.,16 mph,"('48%',)","('30.07 ""Hg',)",10 mi
113,2012-07-03,14:30,59 °F,Sunny.,15 mph,"('51%',)","('30.07 ""Hg',)",10 mi
114,2012-07-03,15:02,57 °F,Sunny.,16 mph,"('51%',)","('30.07 ""Hg',)",10 mi
115,2012-07-03,15:30,57 °F,Sunny.,14 mph,"('48%',)","('30.07 ""Hg',)",10 mi
116,2012-07-03,16:00,57 °F,Clear.,16 mph,"('51%',)","('30.07 ""Hg',)",10 mi
117,2012-07-03,16:30,57 °F,Clear.,15 mph,"('51%',)","('30.07 ""Hg',)",10 mi
118,2012-07-03,17:00,57 °F,Clear.,10 mph,"('55%',)","('30.07 ""Hg',)",10 mi
119,2012-07-03,17:30,55 °F,Clear.,8 mph,"('51%',)","('30.07 ""Hg',)",10 mi
120,2012-07-03,18:00,55 °F,Clear.,6 mph,"('51%',)","('30.09 ""Hg',)",10 mi
121,2012-07-03,18:30,54 °F,Clear.,6 mph,"('51%',)","('30.09 ""Hg',)",10 mi
122,2012-07-03,19:00,54 °F,Clear.,8 mph,"('51%',)","('30.09 ""Hg',)",10 mi
123,2012-07-03,19:30,54 °F,Clear.,10 mph,"('51%',)","('30.12 ""Hg',)",10 mi
124,2012-07-03,20:00,52 °F,Clear.,8 mph,"('58%',)","('30.12 ""Hg',)",10 mi
125,2012-07-03,21:00,50 °F,Clear.,14 mph,"('58%',)","('30.12 ""Hg',)",10 mi
126,2012-07-03,21:30,50 °F,Clear.,17 mph,"('58%',)","('30.12 ""Hg',)",10 mi
127,2012-07-03,22:00,52 °F,Clear.,20 mph,"('54%',)","('30.12 ""Hg',)",10 mi
128,2012-07-03,22:30,52 °F,Clear.,18 mph,"('54%',)","('30.12 ""Hg',)",10 mi
129,2012-07-03,23:00,50 °F,Clear.,18 mph,"('58%',)","('30.15 ""Hg',)",10 mi
130,2012-07-04,00:00,50 °F,Clear.,18 mph,"('58%',)","('30.15 ""Hg',)",10 mi
131,2012-07-04,00:30,50 °F,Clear.,18 mph,"('62%',)","('30.15 ""Hg',)",10 mi
132,2012-07-04,01:00,50 °F,Clear.,18 mph,"('58%',)","('30.15 ""Hg',)",10 mi
133,2012-07-04,01:30,48 °F,Clear.,16 mph,"('62%',)","('30.15 ""Hg',)",10 mi
134,2012-07-04,02:00,48 °F,Clear.,16 mph,"('58%',)","('30.15 ""Hg',)",10 mi
135,2012-07-04,02:30,48 °F,Clear.,15 mph,"('62%',)","('30.15 ""Hg',)",10 mi
136,2012-07-04,03:00,48 °F,Clear.,15 mph,"('58%',)","('30.15 ""Hg',)",10 mi
137,2012-07-04,03:30,46 °F,Clear.,14 mph,"('66%',)","('30.15 ""Hg',)",10 mi
138,2012-07-04,04:00,46 °F,Clear.,13 mph,"('66%',)","('30.15 ""Hg',)",10 mi
139,2012-07-04,04:30,46 °F,Clear.,14 mph,"('62%',)","('30.15 ""Hg',)",10 mi
140,2012-07-04,05:00,46 °F,Clear.,13 mph,"('62%',)","('30.15 ""Hg',)",10 mi
141,2012-07-04,06:00,48 °F,Passing clouds.,17 mph,"('58%',)","('30.18 ""Hg',)",N/A
142,2012-07-04,06:30,48 °F,Passing clouds.,20 mph,"('54%',)","('30.21 ""Hg',)",N/A
143,2012-07-04,07:00,46 °F,Passing clouds.,16 mph,"('62%',)","('30.21 ""Hg',)",N/A
144,2012-07-04,07:30,46 °F,Passing clouds.,14 mph,"('62%',)","('30.21 ""Hg',)",N/A
145,2012-07-04,08:00,48 °F,Passing clouds.,16 mph,"('58%',)","('30.24 ""Hg',)",N/A
146,2012-07-04,08:30,50 °F,Scattered clouds.,16 mph,"('54%',)","('30.24 ""Hg',)",N/A
147,2012-07-04,09:00,50 °F,Scattered clouds.,17 mph,"('54%',)","('30.24 ""Hg',)",N/A
148,2012-07-04,10:00,54 °F,Scattered clouds.,12 mph,"('51%',)","('30.27 ""Hg',)",N/A
149,2012-07-04,10:30,55 °F,Scattered clouds.,23 mph,"('51%',)","('30.27 ""Hg',)",N/A
150,2012-07-04,11:00,57 °F,Partly sunny.,24 mph,"('55%',)","('30.27 ""Hg',)",N/A
151,2012-07-04,12:00,57 °F,Scattered clouds.,23 mph,"('51%',)","('30.24 ""Hg',)",N/A
152,2012-07-04,12:30,57 °F,Scattered clouds.,20 mph,"('55%',)","('30.24 ""Hg',)",N/A
153,2012-07-04,13:00,57 °F,Scattered clouds.,23 mph,"('55%',)","('30.24 ""Hg',)",N/A
154,2012-07-04,13:30,57 °F,Scattered clouds.,24 mph,"('51%',)","('30.24 ""Hg',)",N/A
155,2012-07-04,14:00,59 °F,Scattered clouds.,23 mph,"('51%',)","('30.24 ""Hg',)",N/A
156,2012-07-04,14:30,57 °F,Scattered clouds.,20 mph,"('55%',)","('30.24 ""Hg',)",N/A
157,2012-07-04,15:00,57 °F,Scattered showers. Broken clouds.,22 mph,"('55%',)","('30.27 ""Hg',)",N/A
158,2012-07-04,15:30,55 °F,Scattered showers. Broken clouds.,21 mph,"('72%',)","('30.27 ""Hg',)",N/A
159,2012-07-04,16:00,55 °F,Partly cloudy.,20 mph,"('63%',)","('30.30 ""Hg',)",N/A
160,2012-07-04,16:30,57 °F,Scattered showers. Partly cloudy.,17 mph,"('59%',)","('30.30 ""Hg',)",N/A
161,2012-07-04,17:00,57 °F,Partly cloudy.,16 mph,"('55%',)","('30.30 ""Hg',)",N/A
162,2012-07-04,17:30,55 °F,Partly cloudy.,15 mph,"('55%',)","('30.30 ""Hg',)",N/A
163,2012-07-04,18:00,55 °F,Sprinkles. Partly cloudy.,16 mph,"('63%',)","('30.30 ""Hg',)",N/A
164,2012-07-04,18:30,55 °F,Partly cloudy.,17 mph,"('59%',)","('30.30 ""Hg',)",N/A
165,2012-07-04,19:00,54 °F,Scattered showers. Passing clouds.,17 mph,"('67%',)","('30.33 ""Hg',)",N/A
166,2012-07-04,19:30,54 °F,Partly cloudy.,15 mph,"('63%',)","('30.33 ""Hg',)",N/A
167,2012-07-04,20:00,54 °F,Partly cloudy.,15 mph,"('63%',)","('30.33 ""Hg',)",N/A
168,2012-07-04,20:30,52 °F,Scattered showers. Partly cloudy.,15 mph,"('67%',)","('30.33 ""Hg',)",N/A
169,2012-07-04,21:00,52 °F,Sprinkles. Passing clouds.,12 mph,"('72%',)","('30.33 ""Hg',)",N/A
170,2012-07-04,21:30,52 °F,Scattered showers. Partly cloudy.,13 mph,"('77%',)","('30.33 ""Hg',)",N/A
171,2012-07-04,22:00,52 °F,Sprinkles. Partly cloudy.,13 mph,"('82%',)","('30.36 ""Hg',)",N/A
172,2012-07-04,22:30,52 °F,Scattered showers. Partly cloudy.,15 mph,"('82%',)","('30.36 ""Hg',)",N/A
173,2012-07-04,23:00,54 °F,Scattered showers. Partly cloudy.,18 mph,"('77%',)","('30.36 ""Hg',)",N/A
174,2012-07-04,23:30,54 °F,Scattered showers. Partly cloudy.,24 mph,"('82%',)","('30.36 ""Hg',)",N/A
175,2012-07-04,23:46,54 °F,Sprinkles. Partly cloudy.,18 mph,"('82%',)","('30.36 ""Hg',)",4 mi
176,2012-07-05,00:00,54 °F,Scattered showers. Passing clouds.,20 mph,"('82%',)","('30.36 ""Hg',)",N/A
177,2012-07-05,00:30,54 °F,Scattered showers. Partly cloudy.,21 mph,"('82%',)","('30.36 ""Hg',)",N/A
178,2012-07-05,01:00,54 °F,Scattered showers. Partly cloudy.,18 mph,"('77%',)","('30.36 ""Hg',)",N/A
179,2012-07-05,01:30,52 °F,Sprinkles. Passing clouds.,20 mph,"('82%',)","('30.36 ""Hg',)",4 mi
180,2012-07-05,02:00,52 °F,Sprinkles. Passing clouds.,17 mph,"('88%',)","('30.36 ""Hg',)",4 mi
181,2012-07-05,02:30,50 °F,Sprinkles. Partly cloudy.,17 mph,"('94%',)","('30.36 ""Hg',)",4 mi
182,2012-07-05,03:00,52 °F,Partly cloudy.,21 mph,"('82%',)","('30.36 ""Hg',)",N/A
183,2012-07-05,03:30,52 °F,Sprinkles. Partly cloudy.,20 mph,"('82%',)","('30.36 ""Hg',)",6 mi
184,2012-07-05,04:00,52 °F,Scattered showers. Partly cloudy.,22 mph,"('77%',)","('30.36 ""Hg',)",N/A
185,2012-07-05,05:00,50 °F,Scattered showers. Partly cloudy.,15 mph,"('76%',)","('30.36 ""Hg',)",N/A
186,2012-07-05,06:00,50 °F,Passing clouds.,16 mph,"('82%',)","('30.39 ""Hg',)",N/A
187,2012-07-05,06:30,52 °F,Scattered showers. Scattered clouds.,18 mph,"('72%',)","('30.39 ""Hg',)",N/A
188,2012-07-05,07:00,50 °F,Sprinkles. Broken clouds.,16 mph,"('88%',)","('30.42 ""Hg',)",4 mi
189,2012-07-05,07:30,50 °F,Scattered showers. Broken clouds.,16 mph,"('82%',)","('30.42 ""Hg',)",N/A
190,2012-07-05,08:00,50 °F,Scattered showers. Broken clouds.,16 mph,"('76%',)","('30.42 ""Hg',)",N/A
191,2012-07-05,08:30,52 °F,Scattered showers. Broken clouds.,17 mph,"('72%',)","('30.42 ""Hg',)",N/A
192,2012-07-05,09:00,52 °F,Scattered showers. Broken clouds.,18 mph,"('77%',)","('30.45 ""Hg',)",N/A
193,2012-07-05,09:30,52 °F,Sprinkles. Broken clouds.,15 mph,"('82%',)","('30.45 ""Hg',)",4 mi
194,2012-07-05,10:00,52 °F,Drizzle. Broken clouds.,15 mph,"('88%',)","('30.45 ""Hg',)",4 mi
195,2012-07-05,10:48,52 °F,Scattered showers. Broken clouds.,17 mph,"('88%',)","('30.45 ""Hg',)",N/A
196,2012-07-05,11:00,54 °F,Scattered showers. Broken clouds.,14 mph,"('77%',)","('30.45 ""Hg',)",N/A
197,2012-07-05,12:00,55 °F,Scattered showers. Scattered clouds.,20 mph,"('67%',)","('30.42 ""Hg',)",N/A
198,2012-07-05,12:30,57 °F,Scattered showers. Scattered clouds.,22 mph,"('67%',)","('30.42 ""Hg',)",N/A
199,2012-07-05,13:00,57 °F,Scattered showers. Scattered clouds.,21 mph,"('63%',)","('30.42 ""Hg',)",N/A
200,2012-07-05,13:30,55 °F,Sprinkles. Broken clouds.,20 mph,"('77%',)","('30.42 ""Hg',)",N/A
201,2012-07-05,14:00,55 °F,Scattered showers. Broken clouds.,22 mph,"('72%',)","('30.42 ""Hg',)",N/A
202,2012-07-05,14:30,57 °F,Sprinkles. Broken clouds.,20 mph,"('67%',)","('30.42 ""Hg',)",N/A
203,2012-07-05,15:00,54 °F,Sprinkles. Broken clouds.,21 mph,"('88%',)","('30.42 ""Hg',)",3 mi
204,2012-07-05,15:30,55 °F,Scattered showers. Scattered clouds.,18 mph,"('77%',)","('30.42 ""Hg',)",N/A
205,2012-07-05,16:00,55 °F,Partly cloudy.,23 mph,"('77%',)","('30.42 ""Hg',)",N/A
206,2012-07-05,17:00,54 °F,Partly cloudy.,16 mph,"('82%',)","('30.42 ""Hg',)",3 mi
207,2012-07-05,17:30,52 °F,Sprinkles. Partly cloudy.,15 mph,"('88%',)","('30.42 ""Hg',)",N/A
208,2012-07-05,18:00,52 °F,Scattered showers. Partly cloudy.,16 mph,"('88%',)","('30.45 ""Hg',)",N/A
209,2012-07-05,18:30,50 °F,Sprinkles. Partly cloudy.,16 mph,"('94%',)","('30.45 ""Hg',)",2 mi
