,Date,Hour,Temp,Weather,Wind,Humidity,Barometer,Visibility
0,2012-07-01,00:00,12 °C,Clear.,11 km/h,"('54%',)","('1014 mbar',)",16 km
1,2012-07-01,00:30,12 °C,Clear.,11 km/h,"('54%',)","('1014 mbar',)",16 km
2,2012-07-01,01:00,12 °C,Clear.,9 km/h,"('54%',)","('1014 mbar',)",16 km
3,2012-07-01,02:00,12 °C,Clear.,7 km/h,"('54%',)","('1014 mbar',)",16 km
4,2012-07-01,02:30,10 °C,Clear.,2 km/h,"('67%',)","('1014 mbar',)",16 km
5,2012-07-01,03:00,11 °C,Clear.,13 km/h,"('62%',)","('1014 mbar',)",16 km
6,2012-07-01,04:00,10 °C,Clear.,9 km/h,"('71%',)","('1014 mbar',)",16 km
7,2012-07-01,04:30,10 °C,Clear.,9 km/h,"('67%',)","('1014 mbar',)",16 km
8,2012-07-01,05:00,10 °C,Clear.,11 km/h,"('67%',)","('1014 mbar',)",16 km
9,2012-07-01,06:00,10 °C,Clear.,9 km/h,"('67%',)","('1014 mbar',)",16 km
10,2012-07-01,06:30,10 °C,Partly sunny.,13 km/h,"('67%',)","('1015 mbar',)",N/A
11,2012-07-01,07:00,9 °C,Partly sunny.,13 km/h,"('71%',)","('1015 mbar',)",N/A
12,2012-07-01,07:30,10 °C,Partly sunny.,17 km/h,"('62%',)","('1015 mbar',)",N/A
13,2012-07-01,08:00,10 °C,Partly sunny.,15 km/h,"('62%',)","('1015 mbar',)",N/A
14,2012-07-01,08:30,10 °C,Partly sunny.,19 km/h,"('67%',)","('1016 mbar',)",N/A
15,2012-07-01,09:00,11 °C,Partly sunny.,17 km/h,"('62%',)","('1016 mbar',)",N/A
16,2012-07-01,09:30,12 °C,Partly sunny.,17 km/h,"('58%',)","('1016 mbar',)",N/A
17,2012-07-01,10:00,12 °C,Partly sunny.,19 km/h,"('54%',)","('1016 mbar',)",N/A
18,2012-07-01,10:30,14 °C,Scattered clouds.,19 km/h,"('48%',)","('1015 mbar',)",N/A
19,2012-07-01,11:00,15 °C,Scattered clouds.,17 km/h,"('45%',)","('1015 mbar',)",N/A
20,2012-07-01,12:00,13 °C,Partly sunny.,28 km/h,"('44%',)","('1015 mbar',)",N/A
21,2012-07-01,12:30,15 °C,Scattered clouds.,15 km/h,"('39%',)","('1014 mbar',)",N/A
22,2012-07-01,13:00,16 °C,Scattered clouds.,24 km/h,"('31%',)","('1014 mbar',)",N/A
23,2012-07-01,13:30,17 °C,Passing clouds.,28 km/h,"('27%',)","('1013 mbar',)",N/A
24,2012-07-01,14:00,16 °C,Passing clouds.,26 km/h,"('29%',)","('1013 mbar',)",N/A
25,2012-07-01,15:00,16 °C,Passing clouds.,30 km/h,"('27%',)","('1013 mbar',)",N/A
26,2012-07-01,15:30,16 °C,Passing clouds.,30 km/h,"('29%',)","('1013 mbar',)",N/A
27,2012-07-01,16:00,14 °C,Passing clouds.,32 km/h,"('39%',)","('1013 mbar',)",N/A
28,2012-07-01,16:30,13 °C,Passing clouds.,22 km/h,"('41%',)","('1014 mbar',)",N/A
29,2012-07-01,17:00,13 °C,Passing clouds.,32 km/h,"('41%',)","('1014 mbar',)",N/A
30,2012-07-01,18:00,12 °C,Passing clouds.,22 km/h,"('47%',)","('1014 mbar',)",N/A
31,2012-07-01,18:30,12 °C,Clear.,20 km/h,"('44%',)","('1015 mbar',)",16 km
32,2012-07-01,19:00,12 °C,Clear.,22 km/h,"('47%',)","('1015 mbar',)",16 km
33,2012-07-01,19:30,11 °C,Clear.,19 km/h,"('50%',)","('1015 mbar',)",16 km
34,2012-07-01,20:00,11 °C,Clear.,20 km/h,"('54%',)","('1015 mbar',)",16 km
35,2012-07-01,20:30,10 °C,Clear.,20 km/h,"('58%',)","('1015 mbar',)",16 km
36,2012-07-01,21:00,11 °C,Clear.,17 km/h,"('54%',)","('1015 mbar',)",16 km
37,2012-07-01,21:30,11 °C,Clear.,20 km/h,"('50%',)","('1015 mbar',)",16 km
38,2012-07-01,22:00,10 °C,Clear.,20 km/h,"('54%',)","('1015 mbar',)",16 km
39,2012-07-01,23:00,10 °C,Clear.,20 km/h,"('54%',)","('1015 mbar',)",16 km
40,2012-07-01,23:30,9 °C,Clear.,19 km/h,"('58%',)","('1015 mbar',)",16 km
41,2012-07-02,00:00,9 °C,Clear.,15 km/h,"('58%',)","('1014 mbar',)",16 km
42,2012-07-02,00:30,9 °C,Clear.,17 km/h,"('62%',)","('1014 mbar',)",16 km
43,2012-07-02,01:00,8 °C,Clear.,15 km/h,"('66%',)","('1014 mbar',)",16 km
44,2012-07-02,01:30,8 °C,Clear.,15 km/h,"('66%',)","('1014 mbar',)",16 km
45,2012-07-02,02:00,8 °C,Clear.,13 km/h,"('66%',)","('1014 mbar',)",16 km
46,2012-07-02,02:30,8 °C,Clear.,15 km/h,"('66%',)","('1014 mbar',)",16 km
47,2012-07-02,03:00,7 °C,Clear.,19 km/h,"('71%',)","('1014 mbar',)",16 km
48,2012-07-02,03:30,7 °C,Clear.,11 km/h,"('71%',)","('1014 mbar',)",16 km
49,2012-07-02,04:00,7 °C,Clear.,15 km/h,"('71%',)","('1014 mbar',)",16 km
50,2012-07-02,04:30,7 °C,Clear.,17 km/h,"('71%',)","('1014 mbar',)",16 km
51,2012-07-02,05:00,7 °C,Clear.,13 km/h,"('71%',)","('1014 mbar',)",16 km
52,2012-07-02,06:00,6 °C,Clear.,17 km/h,"('76%',)","('1014 mbar',)",16 km
53,2012-07-02,06:30,6 °C,Passing clouds.,17 km/h,"('76%',)","('1014 mbar',)",N/A
54,2012-07-02,07:00,7 °C,Passing clouds.,17 km/h,"('71%',)","('1015 mbar',)",N/A
55,2012-07-02,07:30,7 °C,Passing clouds.,22 km/h,"('71%',)","('1015 mbar',)",N/A
56,2012-07-02,08:00,9 °C,Passing clouds.,19 km/h,"('66%',)","('1015 mbar',)",N/A
57,2012-07-02,08:30,10 °C,Passing clouds.,17 km/h,"('62%',)","('1015 mbar',)",N/A
58,2012-07-02,09:00,12 °C,Passing clouds.,19 km/h,"('54%',)","('1016 mbar',)",N/A
59,2012-07-02,10:00,13 °C,Passing clouds.,28 km/h,"('47%',)","('1016 mbar',)",N/A
