,Date,Hour,Temp,Weather,Wind,Humidity,Barometer,Visibility
0,2012-07-01,00:00,12,Clear.,11,0.54,1014,16
1,2012-07-01,00:30,12,Clear.,11,0.54,1014,16
2,2012-07-01,01:00,12,Clear.,9,0.54,1014,16
3,2012-07-01,02:00,12,Clear.,7,0.54,1014,16
4,2012-07-01,02:30,10,Clear.,2,0.67,1014,16
5,2012-07-01,03:00,11,Clear.,13,0.62,1014,16
6,2012-07-01,04:00,10,Clear.,9,0.71,1014,16
7,2012-07-01,04:30,10,Clear.,9,0.67,1014,16
8,2012-07-01,05:00,10,Clear.,11,0.67,1014,16
9,2012-07-01,06:00,10,Clear.,9,0.67,1014,16
10,2012-07-01,06:30,10,Partly sunny.,13,0.67,1015,
11,2012-07-01,07:00,9,Partly sunny.,13,0.71,1015,
12,2012-07-01,07:30,10,Partly sunny.,17,0.62,1015,
13,2012-07-01,08:00,10,Partly sunny.,15,0.62,1015,
14,2012-07-01,08:30,10,Partly sunny.,19,0.67,1016,
15,2012-07-01,09:00,11,Partly sunny.,17,0.62,1016,
16,2012-07-01,09:30,12,Partly sunny.,17,0.58,1016,
17,2012-07-01,10:00,12,Partly sunny.,19,0.54,1016,
18,2012-07-01,10:30,14,Scattered clouds.,19,0.48,1015,
19,2012-07-01,11:00,15,Scattered clouds.,17,0.45,1015,
20,2012-07-01,12:00,13,Partly sunny.,28,0.44,1015,
21,2012-07-01,12:30,15,Scattered clouds.,15,0.39,1014,
22,2012-07-01,13:00,16,Scattered clouds.,24,0.31,1014,
23,2012-07-01,13:30,17,Passing clouds.,28,0.27,1013,
24,2012-07-01,14:00,16,Passing clouds.,26,0.29,1013,
25,2012-07-01,15:00,16,Passing clouds.,30,0.27,1013,
26,2012-07-01,15:30,16,Passing clouds.,30,0.29,1013,
27,2012-07-01,16:00,14,Passing clouds.,32,0.39,1013,
28,2012-07-01,16:30,13,Passing clouds.,22,0.41,1014,
29,2012-07-01,17:00,13,Passing clouds.,32,0.41,1014,
30,2012-07-01,18:00,12,Passing clouds.,22,0.47,1014,
31,2012-07-01,18:30,12,Clear.,20,0.44,1015,16
32,2012-07-01,19:00,12,Clear.,22,0.47,1015,16
33,2012-07-01,19:30,11,Clear.,19,0.5,1015,16
34,2012-07-01,20:00,11,Clear.,20,0.54,1015,16
35,2012-07-01,20:30,10,Clear.,20,0.58,1015,16
36,2012-07-01,21:00,11,Clear.,17,0.54,1015,16
37,2012-07-01,21:30,11,Clear.,20,0.5,1015,16
38,2012-07-01,22:00,10,Clear.,20,0.54,1015,16
39,2012-07-01,23:00,10,Clear.,20,0.54,1015,16
40,2012-07-01,23:30,9,Clear.,19,0.58,1015,16
41,2012-07-02,00:00,9,Clear.,15,0.58,1014,16
42,2012-07-02,00:30,9,Clear.,17,0.62,1014,16
43,2012-07-02,01:00,8,Clear.,15,0.66,1014,16
44,2012-07-02,01:30,8,Clear.,15,0.66,1014,16
45,2012-07-02,02:00,8,Clear.,13,0.66,1014,16
46,2012-07-02,02:30,8,Clear.,15,0.66,1014,16
47,2012-07-02,03:00,7,Clear.,19,0.71,1014,16
48,2012-07-02,03:30,7,Clear.,11,0.71,1014,16
49,2012-07-02,04:00,7,Clear.,15,0.71,1014,16
50,2012-07-02,04:30,7,Clear.,17,0.71,1014,16
51,2012-07-02,05:00,7,Clear.,13,0.71,1014,16
52,2012-07-02,06:00,6,Clear.,17,0.76,1014,16
53,2012-07-02,06:30,6,Passing clouds.,17,0.76,1014,
54,2012-07-02,07:00,7,Passing clouds.,17,0.71,1015,
55,2012-07-02,07:30,7,Passing clouds.,22,0.71,1015,
56,2012-07-02,08:00,9,Passing clouds.,19,0.66,1015,
57,2012-07-02,08:30,10,Passing clouds.,17,0.62,1015,
58,2012-07-02,09:00,12,Passing clouds.,19,0.54,1016,
59,2012-07-02,10:00,13,Passing clouds.,28,0.47,1016,
60,2012-07-02,10:30,13,Passing clouds.,32,0.47,1016,
61,2012-07-02,11:00,14,Passing clouds.,24,0.44,1016,
62,2012-07-02,12:00,15,Sunny.,32,0.39,1015,16
63,2012-07-02,12:30,15,Sunny.,30,0.39,1015,16
64,2012-07-02,13:00,15,Sunny.,30,0.36,1015,16
65,2012-07-02,13:30,15,Sunny.,32,0.39,1015,16
66,2012-07-02,14:00,16,Sunny.,32,0.39,1015,16
67,2012-07-02,14:30,15,Sunny.,30,0.42,1015,16
68,2012-07-02,15:00,16,Sunny.,20,0.31,1015,16
69,2012-07-02,15:30,15,Sunny.,30,0.36,1015,16
70,2012-07-02,16:00,15,Clear.,24,0.36,1015,16
71,2012-07-02,17:00,14,Clear.,26,0.39,1016,16
72,2012-07-02,17:30,13,Clear.,20,0.47,1016,16
73,2012-07-02,18:00,13,Clear.,20,0.47,1017,16
74,2012-07-02,18:30,12,Clear.,22,0.51,1017,16
75,2012-07-02,19:00,12,Clear.,22,0.51,1017,16
76,2012-07-02,19:30,11,Clear.,22,0.54,1017,16
77,2012-07-02,20:00,11,Clear.,30,0.54,1018,16
78,2012-07-02,20:30,11,Clear.,28,0.54,1018,16
79,2012-07-02,21:00,11,Clear.,30,0.54,1018,16
80,2012-07-02,21:30,11,Clear.,28,0.54,1018,16
81,2012-07-02,22:00,10,Clear.,28,0.58,1018,16
82,2012-07-02,22:30,10,Clear.,26,0.58,1018,16
83,2012-07-02,23:00,10,Clear.,28,0.58,1018,16
84,2012-07-02,23:30,9,Clear.,26,0.62,1018,16
85,2012-07-03,00:00,9,Clear.,24,0.62,1018,16
86,2012-07-03,00:30,8,Clear.,26,0.66,1018,16
87,2012-07-03,01:00,9,Clear.,28,0.62,1018,16
88,2012-07-03,01:30,9,Clear.,28,0.62,1018,16
89,2012-07-03,02:00,9,Clear.,26,0.62,1018,16
90,2012-07-03,02:30,9,Clear.,28,0.58,1018,16
91,2012-07-03,03:00,9,Clear.,30,0.58,1018,16
92,2012-07-03,03:30,9,Clear.,28,0.58,1018,16
93,2012-07-03,04:00,8,Clear.,24,0.66,1018,16
94,2012-07-03,04:30,9,Clear.,32,0.58,1018,16
95,2012-07-03,05:00,8,Clear.,28,0.66,1018,16
96,2012-07-03,05:30,8,Clear.,28,0.66,1018,16
97,2012-07-03,06:00,8,Clear.,26,0.66,1018,16
98,2012-07-03,06:30,8,Sunny.,28,0.66,1019,16
99,2012-07-03,07:00,8,Sunny.,28,0.66,1019,16
100,2012-07-03,07:30,8,Sunny.,26,0.66,1019,16
