,Date,Temp,Weather,Wind,Humidity,Barometer,Visibility,Clear,Partly sunny,Passing clouds,Scattered clouds,Sunny
0,2012-07-01 00:00:00,12,Clear,11,54,1014,16,1,0,0,0,0
1,2012-07-01 00:30:00,12,Clear,11,54,1014,16,1,0,0,0,0
2,2012-07-01 01:00:00,12,Clear,9,54,1014,16,1,0,0,0,0
3,2012-07-01 02:00:00,12,Clear,7,54,1014,16,1,0,0,0,0
4,2012-07-01 02:30:00,10,Clear,2,67,1014,16,1,0,0,0,0
5,2012-07-01 03:00:00,11,Clear,13,62,1014,16,1,0,0,0,0
6,2012-07-01 04:00:00,10,Clear,9,71,1014,16,1,0,0,0,0
7,2012-07-01 04:30:00,10,Clear,9,67,1014,16,1,0,0,0,0
8,2012-07-01 05:00:00,10,Clear,11,67,1014,16,1,0,0,0,0
9,2012-07-01 06:00:00,10,Clear,9,67,1014,16,1,0,0,0,0
10,2012-07-01 06:30:00,10,Partly sunny,13,67,1015,16,0,1,0,0,0
11,2012-07-01 07:00:00,9,Partly sunny,13,71,1015,16,0,1,0,0,0
12,2012-07-01 07:30:00,10,Partly sunny,17,62,1015,16,0,1,0,0,0
13,2012-07-01 08:00:00,10,Partly sunny,15,62,1015,16,0,1,0,0,0
14,2012-07-01 08:30:00,10,Partly sunny,19,67,1016,16,0,1,0,0,0
15,2012-07-01 09:00:00,11,Partly sunny,17,62,1016,16,0,1,0,0,0
16,2012-07-01 09:30:00,12,Partly sunny,17,58,1016,16,0,1,0,0,0
17,2012-07-01 10:00:00,12,Partly sunny,19,54,1016,16,0,1,0,0,0
18,2012-07-01 10:30:00,14,Scattered clouds,19,48,1015,16,0,0,0,1,0
19,2012-07-01 11:00:00,15,Scattered clouds,17,45,1015,16,0,0,0,1,0
20,2012-07-01 12:00:00,13,Partly sunny,28,44,1015,16,0,1,0,0,0
21,2012-07-01 12:30:00,15,Scattered clouds,15,39,1014,16,0,0,0,1,0
22,2012-07-01 13:00:00,16,Scattered clouds,24,31,1014,16,0,0,0,1,0
23,2012-07-01 13:30:00,17,Passing clouds,28,27,1013,16,0,0,1,0,0
24,2012-07-01 14:00:00,16,Passing clouds,26,29,1013,16,0,0,1,0,0
25,2012-07-01 15:00:00,16,Passing clouds,30,27,1013,16,0,0,1,0,0
26,2012-07-01 15:30:00,16,Passing clouds,30,29,1013,16,0,0,1,0,0
27,2012-07-01 16:00:00,14,Passing clouds,32,39,1013,16,0,0,1,0,0
28,2012-07-01 16:30:00,13,Passing clouds,22,41,1014,16,0,0,1,0,0
29,2012-07-01 17:00:00,13,Passing clouds,32,41,1014,16,0,0,1,0,0
30,2012-07-01 18:00:00,12,Passing clouds,22,47,1014,16,0,0,1,0,0
31,2012-07-01 18:30:00,12,Clear,20,44,1015,16,1,0,0,0,0
32,2012-07-01 19:00:00,12,Clear,22,47,1015,16,1,0,0,0,0
33,2012-07-01 19:30:00,11,Clear,19,50,1015,16,1,0,0,0,0
34,2012-07-01 20:00:00,11,Clear,20,54,1015,16,1,0,0,0,0
35,2012-07-01 20:30:00,10,Clear,20,58,1015,16,1,0,0,0,0
36,2012-07-01 21:00:00,11,Clear,17,54,1015,16,1,0,0,0,0
37,2012-07-01 21:30:00,11,Clear,20,50,1015,16,1,0,0,0,0
38,2012-07-01 22:00:00,10,Clear,20,54,1015,16,1,0,0,0,0
39,2012-07-01 23:00:00,10,Clear,20,54,1015,16,1,0,0,0,0
40,2012-07-01 23:30:00,9,Clear,19,58,1015,16,1,0,0,0,0
41,2012-07-02 00:00:00,9,Clear,15,58,1014,16,1,0,0,0,0
42,2012-07-02 00:30:00,9,Clear,17,62,1014,16,1,0,0,0,0
43,2012-07-02 01:00:00,8,Clear,15,66,1014,16,1,0,0,0,0
44,2012-07-02 01:30:00,8,Clear,15,66,1014,16,1,0,0,0,0
45,2012-07-02 02:00:00,8,Clear,13,66,1014,16,1,0,0,0,0
46,2012-07-02 02:30:00,8,Clear,15,66,1014,16,1,0,0,0,0
